count,date
13.0,2019-11-01 02:21:09
24.0,2019-11-01 02:21:19
1.0,2019-11-01 02:21:30
1.0,2019-11-01 02:21:51
3.0,2019-11-01 02:22:12
4.0,2019-11-01 02:22:24
1.0,2019-11-01 02:22:34
5.0,2019-11-01 02:22:44
1.0,2019-11-01 02:23:02
5.0,2019-11-01 02:23:13
2.0,2019-11-01 02:23:24
5.0,2019-11-01 02:23:35
5.0,2019-11-01 02:23:45
1.0,2019-11-01 02:23:58
2.0,2019-11-01 02:24:09
2.0,2019-11-01 02:24:19
1.0,2019-11-01 02:24:40
3.0,2019-11-01 02:25:00
2.0,2019-11-01 02:25:10
1.0,2019-11-01 02:25:27
3.0,2019-11-01 02:25:38
3.0,2019-11-01 02:25:46
0.0,2019-11-01 02:25:56
0.0,2019-11-01 02:26:27
3.0,2019-11-01 02:26:37
23.0,2019-11-01 02:26:48
67.0,2019-11-01 02:26:58
6.0,2019-11-01 02:27:20
0.0,2019-11-01 02:27:22
0.0,2019-11-01 02:27:32
0.0,2019-11-01 02:27:44
0.0,2019-11-01 02:27:53
5.0,2019-11-01 02:28:06
4.0,2019-11-01 02:28:16
8.0,2019-11-01 02:28:26
2.0,2019-11-01 02:28:41
6.0,2019-11-01 02:28:51
7.0,2019-11-01 02:29:01
3.0,2019-11-01 02:29:11
0.0,2019-11-01 02:29:27
1.0,2019-11-01 02:29:38
5.0,2019-11-01 02:29:53
0.0,2019-11-01 02:30:04
1.0,2019-11-01 02:30:29
0.0,2019-11-01 02:30:53
0.0,2019-11-01 02:31:08
4.0,2019-11-01 02:31:14
4.0,2019-11-01 02:31:23
0.0,2019-11-01 02:31:34
1.0,2019-11-01 02:31:45
5.0,2019-11-01 02:31:56
6.0,2019-11-01 02:32:09
2.0,2019-11-01 02:32:33
4.0,2019-11-01 02:32:43
1.0,2019-11-01 02:33:01
3.0,2019-11-01 02:33:12
2.0,2019-11-01 02:33:23
0.0,2019-11-01 02:33:34
5.0,2019-11-01 02:33:45
10.0,2019-11-01 02:33:55
1.0,2019-11-01 02:34:12
6.0,2019-11-01 02:34:23
2.0,2019-11-01 02:34:34
1.0,2019-11-01 02:34:47
11.0,2019-11-01 02:34:56
0.0,2019-11-01 02:35:07
3.0,2019-11-01 02:35:18
7.0,2019-11-01 02:35:22
3.0,2019-11-01 02:35:34
3.0,2019-11-01 02:35:42
1.0,2019-11-01 02:35:53
5.0,2019-11-01 02:36:01
0.0,2019-11-01 02:36:12
2.0,2019-11-01 02:36:21
1.0,2019-11-01 02:36:47
4.0,2019-11-01 02:36:54
2.0,2019-11-01 02:37:19
1.0,2019-11-01 02:37:39
0.0,2019-11-01 02:37:54
9.0,2019-11-01 02:38:04
2.0,2019-11-01 02:38:15
2.0,2019-11-01 02:38:25
0.0,2019-11-01 02:38:47
1.0,2019-11-01 02:38:58
3.0,2019-11-01 02:39:19
3.0,2019-11-01 02:39:40
42.0,2019-11-01 02:39:44
1.0,2019-11-01 02:39:55
1.0,2019-11-01 02:40:04
1.0,2019-11-01 02:40:13
6.0,2019-11-01 02:40:23
